Index,Functions extracted by manual,Functions extracted by ChatGPT,App Description
28430,"1. Use hurdles in the game to create difficulties for the opponent.  
2. Re-cast hurdles when pressed for 2 seconds.  
3. Earn a time bonus from re-casted hurdles.  
4. Add item to the game.  
5. Start the game with 240 coins.  
6. Choose calling time for numbers between 1~5 seconds.  
7. Adjust game difficulty by choosing numbers on the 5x5 Bingo board.","1. Create difficulties for the opponent using hurdles.  
2. Re-cast hurdles for a time bonus.  
3. Add items.  
4. Register initial game start with 240 coins.  
5. Choose calling time for numbers between 1~5 seconds.  
6. Adjust game difficulty by selecting numbers on a 5x5 Bingo board.","You can use the hurdles in the game to create difficulties for the opponent.

Hurdles will be re-casted when pressed for 2 seconds, which will lead to a time bonus.

Add Item
The initial game start will register 240 coins.
You can choose the calling time for numbers between 1~5 seconds.
You can adjust the difficulty of the game by choosing numbers such as 25/30/35/40/50 on the 5x5 Bingo board."
28522,"1. Ginger-infused chai.  
2. Grandma's antidote for cold and flu.  
3. Digestion-friendly properties.  
4. Numerous health benefits.","1. Provide health benefits of ginger  
2. Offer ginger-infused chai recipes  
3. Suggest remedies for cold and flu","The Health benefits of ginger have been known for at least 2,000 years in cultures all around the world. Although it originated in Asia, ginger is valued in India, the Middle East, Africa, and the Caribbean, among other regions.

Ayurveda gives ginger the status of a virtual medicine chest. That’s because this wonder spice has time-tested, digestion-friendly properties, in addition to its numerous other health benefits. In India, ginger is liberally used in daily life. Ginger-infused chai is a household favorite, and it’s grandma’s antidote of choice for battling cold and flu.

Let’s give this wonderful root a closer look."
28882,"1. fill up your ride  
2. charge you for gallons  
3. Create your account  
4. email you a receipt","1. Eliminate gas station errand permanently.  
2. Create account using credit card.  
3. Charge for gallons to fill up ride.  
4. Email receipt after service complete.","Eliminate the gas station errand permanently with Booster.

Available at select corporate campuses in Texas and California, our prices are competitive with local gas stations and our fuel is always top quality. 

Create your account using a credit card, and we will charge you for the gallons it takes to fill up your ride. After your service is complete, we’ll email you a receipt."
29018,1. Endless running game,1. Play an endless running game.,An endless running game powered by Phaser!
29302,"1. Play a zigzag game.  
2. Engage in a runner game.","1. Play zigzag game  
2. Control runner in zigzag game",It is a zigzag game with runner.
29479,"1. Play Royal Dragon themed slot machine simulation.  
2. Win Lucky Coin Feature and Mystic Yin Feature.  
3. Play slots to defeat the coin stealing Dragon.  
4. Hit Jackpots and scatter to play mini games.","1. Play slots to defeat the coin stealing Dragon.  
2. Hit Jackpots and scatter to play mini games.  
3. Win the Lucky Coin Feature.  
4. Explore the mysterious Mystic Yin Feature.","The most fun Royal Dragon themed slot machine simulation has arrived. The Fiery Dragon sets your wins aflame as you strive to win the Lucky Coin Feature and mysterious Mystic Yin Feature.
Play slots to defeat the coin stealing Dragon. Hit Jackpots and scatter to play mini games.
Casino Dragon Slots Machines from the slots series is the best dragon slots in gaming. This game is made to reshape much of the world's surface in the traditional slots, and that is one hell of an achievement. The world we knew since the classic slots on our mobile devices will never come back, and you have this game to blame for it."
29597,- Harvest the corn crops in the farm,1. Harvest corn crops in the farm.,Hey farmer! It's time to harvest the corn crops in the farm.
30046,"1. Resource for visiting Las Cruces, NM.  
2. Information about things to do.  
3. Information about places to stay.  
4. Provides details on area attractions.  
5. Lists attractions like White Sands National Monument.  
6. Lists attractions like Spaceport America.  
7. Lists attractions like Organ Mountains Desert Peaks National Monument.  
8. Lists attractions like Las Cruces Farmers & Crafts Market.","1. Provide information about things to do in Las Cruces, NM.  
2. Offer details on places to stay in Las Cruces, NM.  
3. Share information about area attractions like White Sands National Monument.  
4. Provide details about Spaceport America.  
5. Offer information about Organ Mountains Desert Peaks National Monument.  
6. Share details about the Las Cruces Farmers & Crafts Market.","The Official Las Cruces Visitors Guide is a complete resource from visiting Las Cruces, NM complete with information about things to do and places to stay. It contains information about area attractions such as White Sands National Monument, Spaceport America, Organ Mountains Desert Peaks National Monument and the Las Cruces Farmers & Crafts Market which is rated one of the top markets in the United States."
30437,"1. Audio to text conversion  
2. Notes and transcription services  
3. Access notes and transcription files on the go  
4. Sign into file sharing account  
5. Record audio and upload to NTE account","1. Access notes and transcription files on the go  
2. Sign into file sharing account  
3. Record audio and upload to NTE account","Note Taking Express is an affordable option for audio to text conversion. Our services include notes or direct transcription services from previously recorded audio files.
The NTE app will allow you to:
- Access your notes and transcription files on the go
- Sign into your file sharing account with us
- Record audio and upload it directly to your NTE account
- Contact us"
30708,1. Preview apps created by RedHead Mobile Apps.,1. Preview apps created by RedHead Mobile Apps.,Use this app to preview your apps created by RedHead Mobile Apps.
30956,"1. View schedules  
2. Explore sessions  
3. Stay up to date with sessions  
4. Stay up to date with keynotes  
5. Stay up to date with partner booths","1. View schedules
2. Explore sessions
3. Stay up to date with sessions
4. Stay up to date with keynotes
5. Stay up to date with partner booths","Ignite 2016 is the official app for Palo Alto Networks’ Ignite Conference 2016, providing cutting-edge interactivity and engagement to customize your Ignite experience.
IMPORTANT: To use this app, you must be a registered participant at Palo Alto Networks’ Ignite Conference 2016 and in possession of a valid activation code.
This mobile app enables you to:
- View schedules, explore sessions, and stay up to date with sessions, keynotes and partner booths."
31543,"1. Make Construction  
2. Without much of paper work  
3. Communication errors  
4. Hectic phone calls","1. Make construction with less paperwork.  
2. Reduce communication errors.  
3. Eliminate hectic phone calls.","Make Construction now without much of paper work, communication errors and hectic phone calls.
Skylark Constructions introduces its own app ""Skylark"".
This app is exclusively developed and maintained for Skylark Constructions Pvt Ltd."
31634,"1. Look at cartoons in HD  
2. Share cartoons  
3. Mark favorites  
4. Access videos  
5. Read blog","1. View NICHTLUSTIG cartoons in HD.  
2. Share cartoons.  
3. Mark cartoons as favorites.  
4. Watch videos.  
5. Access blog content.","Always the latest NICHTLUSTIG cartoons on your Android Phone.
Look at cartoons in HD, share and mark favorites.
In addition, videos and blog!
Have fun!"
32166,"1. Help visit doctor  
2. Prepare for birth with husband  
3. Provide massage  
4. Engage in sport activity  
5. Assist in giving birth to second child","1. Visit doctor for pregnancy check-ups  
2. Prepare for childbirth with husband  
3. Perform massage and sport activities  
4. Simulate giving birth as a doctor","Barbara’s Second Child Birth 1.0 APK description
Barbara’s find out that she's pregnant again! What a pleasant Christmas surprise! Let's help her to visit her doctor and prepare for the birth with her husband, including massage and sport activity. And finally, of course, Barbara will need someone to help her give a birth to her second child. You could be a doctor for her."
32227,"1. Multiplayer gameplay of solitaire  
2. Beat friends in rush for points  
3. Online mode  
4. Offline mode","1. Play a multiplayer solitaire game.  
2. Compete against friends for points.  
3. Announce victory in the game.  
4. Play in online mode.  
5. Play in offline mode.","Check out the NetCartas' newest game! Solitaire Battle brings out a fun multiplayer gameplay of solitaire. Beat your friends in the rush for points and announce your victory to everyone!

Solitaire Battle is available for smartphones:
- Free to play
- online and offline mode"
32244,1. Test for android devices,1. Test for Android devices,A first test from Phiphou for android devices
33249,"1. Help mommy with constant care.  
2. Care for new baby sister.  
3. Help mommy after baby is born.  
4. Make baby sister feel included.  
5. Grow together as a family.","1. Care for a pregnant mommy.  
2. Care for a newborn baby sister.  
3. Help mommy rest after childbirth.  
4. Make the baby sister feel included.  
5. Have fun growing up together.","This mommy needs your special care! Help mommy have her new baby. She is pregnant and ready to have your baby sister!

Help mommy by giving her constant care. After your new baby sister is born care for her while mommy rests.

Make your baby sister feel like she is one of the girls with you and mommy! You girls will have some much fun growing into big kids together!"
33260,"1. Find dirty clothes in the house.  
2. Wash all the clothes.  
3. Dry the clothes up.  
4. Fold the clothes.","1. Find dirty clothes in the house.  
2. Wash clothes.  
3. Dry clothes.  
4. Fold clothes.","Princess laundry day 3 APK description
The girl can't go anywhere unless she finds all the dirty clothes in the house and wash them all.
Could you help her check every room and find all the clothes?
Then we could help her wash the clothes, dry them up and then fold them.
Then Cinderella could go to the prince's ball."
33398,"1. Move all cards from the table.  
2. Build the foundation up or down.  
3. Build foundation regardless of suit.","1. Move all cards from table to foundation.  
2. Build foundation up or down regardless of suit.",Duchess Solitaire is a classic solitaire variation. The object of the game is to move all of the cards from the table to the foundation. The foundation may be built up or down regardless of suit.
33478,"1. Test survival skills.  
2. Navigate an office building.  
3. Encounter zombie co-workers.","1. Test survival skills.  
2. Navigate through an office building.  
3. Encounter zombie co-workers.","Zombie Apocalypse 1.0 APK description
Prepare for the apocalypse. Test your survival skills as you make your way through an office building full of your zombie co-workers."
33481,1. Predict many interesting things.,1. Predict interesting things.,"Psych Tell 1.1 APK description
Psych Tell can predict many interesting things."
33578,"1. Select YOUR team  
2. Receive team specific news  
3. Receive fixture lists  
4. Receive player rosters  
5. Receive club Twitter feeds  
6. Video highlights  
7. Latest Super Rugby news  
8. Latest Super Rugby stories  
9. Latest Super Rugby videos  
10. Detailed LIVE match stats  
11. LIVE text commentary","1. Receive team specific news
2. View fixture lists
3. Check player rosters
4. Access club Twitter feeds
5. Watch video highlights
6. Read latest Super Rugby news
7. View stories and videos
8. Access detailed LIVE match stats
9. Follow LIVE text commentary","The FOX SPORTS Super Rugby Match Centre brings the action from EVERY Super Rugby match straight to your Android mobile device!
• Select YOUR team to receive team specific news, fixture lists, player rosters and club Twitter feeds.
• Video highlights.
• Latest Super Rugby news, stories and videos from foxsports.com.au.
• Detailed LIVE match stats
• LIVE text commentary."
33582,"1. Access daily auction prices.  
2. View real time price information.  
3. View historical price information.  
4. Access general prices for species.  
5. Access prices for all species.","1. Access daily auction prices.  
2. View real-time and historical price information for consigned products.  
3. View general prices for species supplied.  
4. Access general prices for all species for contracted suppliers.","The Sydney Fish Market Supplier app allows registered SFM suppliers access to daily auction prices.

Real time and historical price information will be available for consigned products as well as general prices for species supplied. Contracted suppliers will also have access to general prices for all species.

Sydney Fish Market is the largest market of its kind in the Southern Hemisphere and the third largest seafood market in terms of variety in the world. A working fish market, SFM sources product both nationally and internationally and trades over 14,500 tonnes of seafood annually - with up to one hundred sustainable seafood species traded every day and approximately 500 species traded annually."
33619,"1. Contact our team with one click  
2. Browse our extensive range of services  
3. Share your experience with others by joining our in-app community  
4. Keep up to date with us on social media","1. Contact team with one click  
2. Browse extensive range of services  
3. Share experience with in-app community  
4. Keep up to date on social media","Whether you're desperate to automate your existing garage door or you'd love a brand new door, Camber Garage Doors Ltd are the perfect people to call.
We can supply and fit your new garage door. For a better insight into what we can do for you, download our app today.
With our app, you can:
- Contact our team with one click
- Browse our extensive range of services
- Share your experience with others by joining our in-app community
- Keep up to date with us on social media"
33623,"1. Browse our extensive range of services  
2. Contact our team at the click of a button  
3. Join our in-app community  
4. Share your experience with others  
5. Receive a free, no obligation quotation","1. Browse extensive range of services  
2. Contact team at the click of a button  
3. Join in-app community and share experience  
4. Receive free, no obligation quotation","Whether you're desperate for a roofing repair or you're in need of a full re-roof, look no further than Roof And Wall Restoration.
Situated in Barnsley, our services include flat roofing, repairs, cleaning, fascias, guttering, soffits, damp treatments, secoTHERM, and much more. Download our app today for more information on what we can do for you.
With our app, you can:
- Browse our extensive range of services
- Contact our team at the click of a button
- Join our in-app community and share your experience with others
- Receive a free, no obligation quotation"
33643,"1. Contact our team instantly  
2. Browse our range of roofing services  
3. Share your driveway experience with others  
4. Request and receive free estimations","1. Contact the team instantly  
2. Browse a range of roofing services  
3. Share driveway experience with others  
4. Request and receive free estimations","A and M Maintenance and Supplies Ltd are experts in refurbishing and restoring the external features of your property.
Working with residential and commercial properties, we can restore fascias, re-roof homes and lay pattern concrete driveways.
Download our app to:
- Contact our team instantly
- Browse our range of roofing services
- Share your driveway experience with others
- Request and receive free estimations"
33649,"1. Home  
2. About Us  
3. Contact Us  
4. Call Us  
5. Photos  
6. Forms  
7. Testimonials","1. Find home information.  
2. View about us details.  
3. Contact us for inquiries.  
4. Call us directly.  
5. Browse photos.  
6. Access forms.  
7. Read testimonials.","Located in West Sussex, we work within the surrounding areas up to a 20 mile radius. Our services include kitchen installations, plastering, tiling, flooring, repairs, and much more. With over 13 years in the business, owner and managing director, Carl Irvine, has a wealth of knowledge and experience in the industry.
Whatever your budget and time scale, we will work with you, ensuring each job receives the care and attention it deserves. Our dedicated team are on hand for help and advice, alongside free estimates. Get in touch with us today for a better insight into what we can do for you.
In this app you can find:
Home, About Us, Contact Us, Call Us, Photos, Forms, Testimonials"
33807,"1. Find our garage quickly and easily  
2. Share your experience with others  
3. Contact our team at the click of a button  
4. Browse our extensive range of services","1. Find the garage quickly and easily  
2. Share experiences with others  
3. Contact the team at the click of a button  
4. Browse an extensive range of services","If you're in need of a reliable, friendly and professional mechanic in and around the Bridgend area, look no further than Lab Automotive!
From TerraClean to Hydraulic injection pullers, we specialise in vehicle maintenance, servicing, repairs and more. Download our app today for more information on how we can help you.
With our app, you can:
- Find our garage quickly and easily
- Share your experience with others
- Contact our team at the click of a button
- Browse our extensive range of services"
33810,"1. Get on-the-go access to furniture and decor.  
2. Enjoy up-to-date information about products.","1. Access furniture and decor for every style.  
2. Get up-to-date information about products.","Aaron Stewart Home is a highly curated lifestyle store offering a broad array of home furnishings products. Our objective is to offer a combination of brands based on our design and travel experience not found together today. A collection of essential items offered from our perspective.

Download our app and get on-the-go access to furniture and decor for every style. You will also enjoy:

-Up-to-date information about our products"
33976,"1. Complete list of AA meetings.  
2. Search by day of the week.  
3. Choose Naples, Bonita Springs, or Marco Island meetings.  
4. Gives meeting details.  
5. Helps with directions.  
6. Directions given through Google Maps.","1. Search for AA meetings by day of the week.  
2. Choose between Naples, Bonita Springs, or Marco Island AA meetings.  
3. View details of AA meetings.  
4. Provide directions to AA meeting locations.  
5. Navigate to meeting locations using Google Maps.","Complete list of Naples AA meetings, Bonita Springs AA meetings, and Marco Island AA meetings are available on this app. This app is a meeting schedule app for South Florida District 20 AA and the greater Naples, Bonita Springs, and Marco Island areas. We have compile the meeting schedule into an easy to use 3 step process. The app will let you search by day of the week and then you can choose either Naples AA, Bonita Springs AA, or Marco Island AA meetings for the chosen time. It gives you details for the meetings and will help you with directions. The directions are given through Google Maps."
34225,"1. Reset the game  
2. Showing artist's name","1. Reset the game.
2. Show artist's name.",Ai Weiwei's vase will always goes towards where the gravity is. - Reset the game: Touching aww's cxxk. - Showing artist's name: Touching the top right corner of the screen
34310,"1. Report sightings of Māui dolphins  
2. Identify a Māui dolphin  
3. Understand more about the species  
4. Collect information on habitat  
5. Verify reports by an expert  
6. Share data with the Department of Conservation","1. Report sightings of Māui dolphins.  
2. Identify Māui dolphins.  
3. Understand information about Māui dolphins.  
4. Collect data on dolphin habitat.  
5. Share data with conservation organizations.","This free Māui Dolphin app makes it easy for boaties, surfers and beach goers to report sightings of the world’s smallest and rarest marine dolphin on the West Coast of New Zealand.
 
WWF-New Zealand and Alphero teamed up to deliver this beautiful, interactive guide. It helps users identify a Māui dolphin and understand more about this iconic species, while making it easier to report a sighting so that information on their habitat can be collected, and their habitat protected.
 
Every sighting is valuable to help build a picture of where the dolphins are found and better understand their behaviour.
 
This information is collected by WWF, and the report is verified by an independent dolphin expert. WWF shares the data with the Department of Conservation (DOC), government and scientists to advocate for full protection for Māui dolphins throughout their entire range."
34329,"1. Help start and grow successful app businesses.  
2. Share app publishing tips, trends, and advice.  
3. Curate the latest app industry information.  
4. Guide step-by-step to create apps with no code experience.  
5. Help create apps that make money in the marketplace.","1. Share app publishing tips, trends, and advice.  
2. Curate the latest app industry information.  
3. Guide step-by-step to create apps with no code experience.  
4. Simplify creating apps that generate revenue.","Welcome to App Maker Biz a trailblazer resource app to help start and grow successful app businesses with no code experience. An in-app chat community to share app publishing tips, trends, advice,and more. Also an in-app news platform curating the latest app industry information. If you ever wanted to learn how-to create an app with no code experience App Maker Biz is the perfect app to helpguide you step-by-step with ease. Learn to simplify how-to create apps that make money in the marketplace when other app developers are still struggling to generate revenue.Starting an app business for 2015 and beyond is proclaimed to be one of the best paths to generate sustainable income and wealth. Download App Maker Biz for FREE today to learn how-to start andgrow a successful app business from anywhere. Stop waiting and start living out your dreams now!"
34663,1. Free Home Delivery,1. Free home delivery of kebab and pizza.,"Kebab & Pizza, Free Home Delivery
Kebab & Pizza, Free Home Delivery
What's New in the Latest Version 6
Last updated on Mar 1, 2019
Minor bug fixes and improvements. Install or update to the newest version to check it out!"
34708,"1. Search for Basque MP3 music  
2. Download music to phone  
3. Download music tracks in MP3 music library  
4. Update directory listings  
5. Listen to Basque MP3 music files  
6. Use MP3 player   
7. Find in large database  
8. Download free MP3 music under Creative Commons licenses","1. Search for Basque MP3 music.
2. Download Basque MP3 music.
3. Update directory listings.
4. Listen to Basque MP3 music files.
5. Search and download MP3 music.
6. Access a large MP3 music database.
7. Download free MP3 music under Creative Commons licenses.","Basque MP3 Music Download free application for Android that you want to search for Basque MP3 music and download it to your phone. Easily search and download music tracks in MP3 music library andupdate the directory listings. Also, you can listen to Basque MP3 music files with the player in our character. This program can help you get the best results from a specific public MP3 DownloadMP3.
Please enable WiFi for search and download!Through this program you can find in a large database that allowed the CC / MP3 player, this program is a great source of free MP3 music downloads under Creative Commons licenses."
34815,"1. Promote Trang, the Andaman Coast of South of Thailand. 
2. Promote the ""Trang: the City of Delicacies"" campaign. 
3. Boost alternative travel destinations. 
4. Enhance the travel theme “The Cities Not to be Missed.”","1. Promote Trang, the Andaman Coast of South of Thailand.  
2. Boost alternative travel destinations.  
3. Highlight ""Trang: the City of Delicacies.""","""Trang Taste Travel"" - this Food & Drink app aims to promote Trang,the Andaman Coast of South of Thailand launched “Trang: the City of Delicacies” in accordance with the policy to promote domestic tourism for the year 2015 to boost alternative travel destinations under the theme “The Cities Not to be Missed.”"
34978,"1. breaking news updates  
2. Exclusive interviews  
3. Push notifications  
4. Weekly story updates  
5. Opinions on important matters","1. Exclusive interviews  
2. Push notifications  
3. Weekly story updates  
4. Opinions on important matters",Introducing The Talon's news app. Download for breaking news updates about Centennial High School and the community. App features: -Exclusive interviews -Push notifications -Weekly story updates -Opinions on important matters
34992,"1. Purchase products online  
2. Become a distributor","1. Purchase products online.  
2. Become a distributor.","Since 1993, Advocare has been a world-class company specializing in health and wellness, weight management, vibrant energy, and sports performance. Use this app to purchase our products online or to become a distributor yourself.
Thanks for stopping by!"
35015,1. Help dachshund to collect as many bones.,1. Collect bones for a dachshund.,"Help dachshund to collect as many bones
Help dachshund to collect as many bones, so it does not starve
What's New in the Latest Version 1.0
Last updated on Jul 26, 2016
Minor bug fixes and improvements. Install or update to the newest version to check it out!"
35068,"1. make a reservation with mobile  
2. get latest info  
3. get promotion","1. Make a reservation with mobile.  
2. Get latest information.","Using this application our client can made a reservation with their mobile and get latest info and promotion also.
Our training center, located in Damansara Intan (next to Tropicana City Mall) Petaling Jaya offers premium facilities suitable for training programs, computer trainings, workshops, seminars, product launches, signing ceremonies, annual general meetings, conferences, press events, interviews and general events. Seating capacity ranges from 30 pax to 60 pax via various seating arrangements - classroom, theater, boardroom, u-shape, fishbone and island cluster."
35128,"1. Listen to sermon.  
2. Read Bethel Blog.  
3. Read the Church Bulletin.  
4. Submit your prayer request.  
5. Chat with other users.  
6. Daily Thoughts and Inspiration.","1. Listen to sermons  
2. Read Bethel Blog  
3. Read the Church Bulletin  
4. Submit prayer requests  
5. Chat with other users  
6. Provide daily thoughts and inspiration","The official mobile app for Bethel Covenant Family Church International is the easy way to stay in touch and be informed on everything going on in the church.
Listen to sermon.
Read Bethel Blog.
Read the Church Bulletin.
Submit your prayer request
Chat with other users.
Daily Thoughts and Inspiration,"
35197,"1. Create 6 week health programs.  
2. Change your life.  
3. Lose fat.  
4. Look great.  
5. Feel healthier.  
6. Digestive healing.  
7. Detoxification.  
8. Answers to anti-ageing.  
9. Help with mental health.  
10. Regular coaching and checkups.","1. Create 6-week health programs
2. Lose fat and improve appearance
3. Feel healthier
4. Digestive healing and detoxification
5. Anti-ageing solutions
6. Mental health support
7. Regular coaching and checkups","Rosemary Manners is one of those people who are passionate about health.
She creates 6 week health programs that change your life.
If you are ready for a new you, this app is for you,
If you want to lose fat, look great or feel healthier, examine Thin Within,
If you want digestive healing and detoxification, look at Clean Within,
If you want answers to anti-ageing read about Youthful Within,
If you need help with mental health there is our Happiness Within program,
or for regular coaching and checkups see Healthy Ever After."
35414,"1. Give unsigned or undeveloped artist a place to be seen & heard.  
2. Provide opportunity to make money doing what they love.  
3. Serve as a home for aspiring artists.  
4. Serve as a home for supporters of independent talent.","1. Provide a platform for independent talent.  
2. Give unsigned or undeveloped artists a place to be seen and heard.  
3. Offer opportunities to make money for artists.","Knucklebuss Establishment is the platform for independent talent. We give unsigned or undeveloped artist a place to be seen & heard With the opportunity to make money doing what they love. Whether you are an aspiring artist, or just a supporter of independent talent, Knucklebuss Establishment is your new home."
35466,"1. See what is on offer  
2. Book take out  
3. Collect order  
4. Book dine in meal in advance","1. View menu options.  
2. Book take-out orders.  
3. Collect orders in advance.  
4. Book dine-in meals.","Cantina Mamma Lucia. The enduring place to eat authentic Italian food run for over 20 years by a fantastic crew of enthusiastic gastronomes, who know what it is that makes good Italian food both good and Italian. In this app you will be able to see what is on offer and book your take out, collect order, or even book your dine in meal in advance."
35500,"1. Book services or workshops  
2. Read and leave reviews  
3. Watch instructional videos  
4. Explore social media networks  
5. Track latest news and events  
6. Take special offers  
7. Visit online store  
8. Send inspirational pictures with Relax Cam  
9. Learn about services and workshops","1. Book in for services or workshops
2. Read and leave reviews and testimonials
3. Watch instructional videos
4. Explore social media networks
5. Keep track of latest news and events
6. Take advantage of special offers
7. Use online store
8. Use 'Relax Cam' to send inspirational pictures
9. Learn about services and workshops","Welcome to the Melbourne Kinesiology and Detox Centre free App! Our App has a wealth of information for self help ranging from Spiritual Healing to Kinergetics to Raiki and everything in between. Use our App to book in for services or workshops, read and leave reviews and testimonials, watch dozens of instructional videos, read about our qualifications and memberships to related organisations, explore our many social media networks.

- Keep track of our latest news and events of interest
- Take advantage of special offers and our online store
- Read and leave reviews
- Use our 'Relax Cam' to send us inspirational pictures
- Learn more about our services and workshops"
35649,"1. Have daily specials  
2. Appeal to men, women and children  
3. Provide a unique dining experience  
4. Serve fresh soups  
5. Offer the BEST DESSERTS","1. View daily specials  
2. Enjoy fresh soups  
3. Taste desserts in Lubbock, Texas","Sheila’s Secret Garden Tea Room has a unique sidewalk cafe atmosphere located at the back of KK’s Craft Mall. We have daily specials that appeal to men, women and children. With my many years of catering experience and our delicious menu, you are sure to be delighted by this unique dining experience. Come out Tuesday through Saturday, 11:00 am - 3:00 pm, and see what’s cookin’ at Sheila’s Secret Garden Tea Room. We have daily specials, fresh soups, and I have the BEST DESSERTS in Lubbock, Texas!"
35656,"1. Select Navy Pump  
2. Select Simsite products  
3. Access published brochures  
4. Direct contact","1. Select type of Navy Pump and Simsite products.  
2. Access published brochures.  
3. Contact directly.","An Application for the selection of SIMSITE Pumps manufactured by SIMS, Inc. This application allow the user to quickly select the type of Navy Pump and all Simsite products. App will allow easy access to all published brochures and direct contact"
35765,"1. Provide toothbrushes  
2. Explain risks and benefits of treatment options  
3. Restore smiles  
4. Improve confidence in work and social situations  
5. Prevent dental disease  
6. Take fear and stress out of dental visits","1. Restore patient's smile.  
2. Improve patient's confidence in work and social situations.  
3. Prevent dental disease.  
4. Reduce fear and stress of dental visits.","Welcome to Walmley Dental Practice, expert dentists serving Sutton Coldfield and Birmingham for over 20 years. We believe that an individual's smile, and the condition of their mouth is crucial to the quality of their life.
Toothbrushes
We are a caring, open practice that takes time to explain the risks and benefits of treatment options. We want to help you make the choices that are right for you. Our friendly staff pride themselves on restoring your smile and in helping to improve your confidence in work and social situations. We place a special emphasis on preventing dental disease. Most importantly we want to take the fear and stress out of a visit to the dentist!"
35931,"1. Get the latest information and updates.  
2. Access native mobile features.  
3. View maps.  
4. Receive push notifications.  
5. Browse social media links.  
6. Watch video content.  
7. Use a picture-card frame tool.","1. Get latest information and updates.
2. Access native mobile features.
3. View maps.
4. Receive push notifications.
5. Access social media links.
6. Watch video.
7. Use picture-card frame tool.","Download AYSO Region 1132's mobile app and get the latest information and updates right from your mobile smartphone or tablet. This app also includes native mobile features such as maps, push notifications, social media links, video and a very cool picture-card frame tool. Stay connected to AYSO Region 1132 any time, anywhere!"
35960,"1. maps  
2. push notifications  
3. social media links  
4. video  
5. picture-card frame tool  
6. get latest information  
7. updates right from your mobile smartphone or tablet","1. Get the latest information and updates.  
2. Access native mobile features such as maps.  
3. Receive push notifications.  
4. Link to social media.  
5. View video content.  
6. Use a picture-card frame tool.","Download AYSO Region 1466's mobile app and get the latest information and updates right from your mobile smartphone or tablet. This app also includes native mobile features such as maps, push notifications, social media links, video and a very cool picture-card frame tool. Stay connected to AYSO Region 1466 any time, anywhere!
AYSO,soccer,youth,registration,teams,American,competitive,rec,Antioch,California"
35971,"1. Get the latest information and updates
2. Access fun tools
3. View social media links
4. See maps
5. Watch videos
6. Use a picture frame feature","1. Get latest information and updates  
2. Access social media links  
3. Use maps  
4. Watch videos  
5. Use a picture frame feature","Download Columbine Figure Skating Club's mobile app from Active Youth Network and get the latest information and updates from your mobile smart phone. The app also includes some fun tools such as social media links, maps, videos and a cool picture frame feature that the kids will love. Stay connected to Columbine Figure Skating Club anytime, anywhere."
35993,"1. Get the latest information and updates  
2. Include social media links  
3. Include maps  
4. Include videos  
5. Include a picture frame feature","1. Get latest information and updates.  
2. Access social media links.  
3. Use maps.  
4. Watch videos.  
5. Use a picture frame feature.","Download San Antonio Figure Skating Club's mobile app from Active Youth Network and get the latest information and updates from your mobile smart phone. The app also includes some fun tools such as social media links, maps, videos and a cool picture frame feature that the kids will love. Stay connected to San Antonio FSC anytime, anywhere."
35995,"1. get information  
2. get updates  
3. access social media links  
4. access maps  
5. access videos  
6. use picture frame feature","1. Get the latest information and updates.  
2. Access social media links.  
3. Use maps.  
4. Watch videos.  
5. Use a picture frame feature.","Download the Spirit Zone Gymnastic's mobile app and get the latest information and updates from your mobile smart phone. The app also includes some fun tools such as social media links, maps, videos and a cool picture frame feature that the kids will love. Stay connected to Spirit Zone anytime, anywhere."
36157,"1. Collect any WebMail sites  
2. Read Mail under one touch","1. Collect WebMail sites  
2. Read Mail under one touch",Simply an app the collect any WebMail sites to read Mail under one touch.
36282,"1. Get high speed
2. Race on incredible tracks
3. Drive highspeed cars
4. Choose a car
5. Show driving skills","1. Choose a car.  
2. Experience high-speed gameplay.  
3. Navigate through various tracks.  
4. Encounter dangerous police pursuits.  
5. Showcase driving skills.","In this exciting game you will get extremely high speed, incredible tracks and a lot of adrenaline.
Five highspeed cars, a variety of routes and dangerous police will not let you relax even for a second.
Choose car you'd like and show all your skills!"
36712,"1. Book taxi  
2. Manage taxi  
3. Track taxi  
4. Book Minbus  
5. Book People Carrier","1. Book taxis  
2. Manage taxi bookings  
3. Track taxi bookings  
4. Book minibuses  
5. Book people carriers","You can now book, manage, and track your taxi, from the power of your Smartphone.The Fastline Taxi Booker is the only app you will need to to get a Taxi, Minbus, People Carrier, in the Stourbridge, Kingswinford, Dudley and Merryfield area."
36756,"1. Browse the most popular cars, photos, and videos  
2. Stay current with all your friends’ activities in the Car Feed  
3. Create, view, and share detailed car profiles  
4. Snap perfect car shots with built-in camera guide lines  
5. Park your favorite cars in your virtual garage","1. Browse the most popular cars, photos, and videos.  
2. Stay current with friends’ activities in the Car Feed.  
3. Create, view, and share detailed car profiles.  
4. Snap perfect car shots with built-in camera guide lines.  
5. Park favorite cars in your virtual garage.","Car Fiend is a free, fun way to share your automotive passion. Browse and post photos, link to videos, and fill your virtual garage with the ultimate car collection. From American muscle to vintage Concours Italian – and everything in between – Car Fiend is the home for all car enthusiasts.
• Browse the most popular cars, photos, and videos
• Stay current with all your friends’ activities in the Car Feed
• Create, view, and share detailed car profiles
• Snap perfect car shots with built-in camera guide lines
• Park your favorite cars in your virtual garage"
